#Word Types: 1158
#Word Tokens: 1614678
#Search Hits: 0
1	38374	о#	
2	30330	е#	
3	30159	а#	
4	29269	и#	
5	26501	#н	
6	25929	#с	
7	23629	#в	
8	22947	то	
9	22499	#п	
10	21934	#о	
11	17960	я#	
12	17851	#и	
13	17474	на	
14	17025	ь#	
15	16312	ст	
16	16016	не	
17	15602	ал	
18	15412	но	
19	14519	#к	
20	13493	он	
21	13352	го	
22	13092	по	
23	12562	#т	
24	12369	ка	
25	12351	ко	
26	12339	ла	
27	12056	ни	
28	11855	#д	
29	11742	л#	
30	11594	ов	
31	11328	ен	
32	11217	й#	
33	11171	во	
34	11140	м#	
35	10860	#б	
36	10796	ро	
37	10705	у#	
38	10695	ра	
39	10276	#ч	
40	10096	от	
41	10077	ть	
42	9894	пр	
43	9300	ло	
44	9213	ел	
45	9210	ос	
46	8906	#м	
47	8849	н#	
48	8706	ва	
49	8677	за	
50	8649	ор	
51	8611	ол	
52	8578	#е	
53	8373	в#	
54	8330	ли	
55	8315	ле	
56	8202	ре	
57	8180	ер	
58	7938	те	
59	7909	та	
60	7867	ск	
61	7582	ом	
62	7552	к#	
63	7270	ви	
64	7270	ог	
65	7219	де	
66	7193	чт	
67	7094	ил	
68	7061	се	
69	7021	ет	
70	7013	ри	
71	6963	ан	
72	6920	т#	
73	6807	да	
74	6747	аз	
75	6743	ы#	
76	6724	#у	
77	6712	ве	
78	6703	ак	
79	6667	#з	
80	6665	бы	
81	6633	ат	
82	6630	од	
83	6562	же	
84	6447	ин	
85	6390	ем	
86	6066	#р	
87	6066	ит	
88	5999	ти	
89	5986	ес	
90	5944	ег	
91	5920	до	
92	5806	#л	
93	5603	ас	
94	5564	вс	
95	5543	ль	
96	5485	ю#	
97	5400	#г	
98	5392	об	
99	5308	че	
100	5059	мо	
101	5005	#а	
102	4892	ав	
103	4801	ся	
104	4692	#э	
105	4624	ме	
106	4609	ой	
107	4588	с#	
108	4581	эт	
109	4537	сь	
110	4469	нн	
111	4463	ки	
112	4452	ны	
113	4431	му	
114	4426	им	
115	4281	ив	
116	4241	х#	
117	4144	тв	
118	4139	ми	
119	4136	ыл	
120	4069	#ж	
121	3991	сл	
122	3984	ей	
123	3942	ну	
124	3941	ое	
125	3918	ев	
126	3890	ма	
127	3852	ед	
128	3848	ая	
129	3848	тр	
130	3845	вы	
131	3821	ам	
132	3760	ие	
133	3750	со	
134	3630	ше	
135	3616	#я	
136	3616	ар	
137	3615	ру	
138	3562	хо	
139	3538	ее	
140	3529	ча	
141	3503	ад	
142	3278	пе	
143	3255	ди	
144	3250	ис	
145	3234	бе	
146	3144	бо	
147	3063	зн	
148	3058	ож	
149	2970	ич	
150	2909	ду	
151	2893	св	
152	2817	ек	
153	2799	са	
154	2783	уж	
155	2781	ня	
156	2751	ля	
157	2708	сп	
158	2701	из	
159	2666	ия	
160	2546	оч	
161	2476	ид	
162	2466	ок	
163	2465	ши	
164	2456	#х	
165	2428	ик	
166	2425	уд	
167	2416	гл	
168	2413	дн	
169	2398	др	
170	2371	ты	
171	2306	жи	
172	2249	жа	
173	2242	ку	
174	2195	кр	
175	2180	еп	
176	2178	ят	
177	2094	еб	
178	2066	си	
179	2051	ий	
180	2051	чи	
181	2051	ще	
182	2043	их	
183	2020	мн	
184	2005	ош	
185	2000	вн	
186	1982	нь	
187	1953	ры	
188	1925	ьк	
189	1901	ум	
190	1877	лу	
191	1868	гд	
192	1864	ый	
193	1851	ез	
194	1840	ым	
195	1837	ьн	
196	1831	па	
197	1830	ул	
198	1825	ту	
199	1811	ув	
200	1795	аж	
201	1772	лс	
202	1736	вш	
203	1720	оп	
204	1719	бр	
205	1677	ут	
206	1665	тн	
207	1660	вр	
208	1616	нс	
209	1602	лю	
210	1600	з#	
211	1582	жн	
212	1581	ае	
213	1575	уг	
214	1570	оз	
215	1559	бу	
216	1535	ыв	
217	1534	ус	
218	1531	д#	
219	1526	ую	
220	1521	лы	
221	1513	еш	
222	1512	кс	
223	1495	сн	
224	1488	чу	
225	1476	ые	
226	1471	ша	
227	1445	мы	
228	1412	рь	
229	1409	ря	
230	1396	еч	
231	1376	уч	
232	1371	яс	
233	1360	аю	
234	1352	ба	
235	1329	ьс	
236	1318	ял	
237	1315	ах	
238	1310	см	
239	1310	тс	
240	1307	ою	
241	1301	га	
242	1298	ха	
243	1283	еж	
244	1271	иц	
245	1270	дл	
246	1259	дь	
247	1256	ех	
248	1253	зв	
249	1238	ч#	
250	1238	ых	
251	1223	ач	
252	1222	би	
253	1220	бл	
254	1216	жд	
255	1215	дв	
256	1213	ук	
257	1212	вл	
258	1210	пи	
259	1193	зд	
260	1190	ги	
261	1178	ыс	
262	1141	ои	
263	1129	ыт	
264	1117	уш	
265	1113	#ш	
266	1073	гр	
267	1061	ву	
268	1053	щи	
269	1049	г#	
270	1033	ян	
271	1023	аш	
272	1020	нд	
273	1013	рн	
274	1010	юб	
275	1004	р#	
276	998	це	
277	980	ещ	
278	980	кн	
279	953	гу	
280	933	аб	
281	932	аг	
282	912	ап	
283	910	рк	
284	884	уп	
285	873	сс	
286	871	яд	
287	869	вз	
288	864	ии	
289	864	шл	
290	846	зг	
291	843	тя	
292	840	ай	
293	828	ур	
294	820	бя	
295	814	ды	
296	812	уб	
297	807	т	
298	797	шь	
299	795	ир	
300	791	су	
301	790	пу	
302	782	ке	
303	776	оя	
304	773	ье	
305	767	зя	
306	767	ыб	
307	766	йс	
308	760	чн	
309	754	тк	
310	744	ца	
311	724	о	
312	713	рт	
313	712	пл	
314	679	сч	
315	677	ыш	
316	664	ьи	
317	657	ею	
318	657	ьш	
319	643	дя	
320	643	иг	
321	638	нт	
322	634	ья	
323	622	иш	
324	614	мя	
325	613	ью	
326	609	лж	
327	606	иб	
328	605	б#	
329	588	кт	
330	584	шн	
331	570	зы	
332	564	ея	
333	561	рг	
334	560	#ф	
335	553	рд	
336	553	шк	
337	547	пя	
338	543	зо	
339	529	ын	
340	529	ющ	
341	522	ох	
342	522	сы	
343	521	сд	
344	519	ге	
345	508	вд	
346	500	кл	
347	499	дс	
348	495	иж	
349	495	ям	
350	493	чк	
351	484	бн	
352	482	яз	
353	470	рв	
354	469	зи	
355	467	рж	
356	467	яж	
357	464	лн	
358	463	ща	
359	460	яг	
360	459	ух	
361	459	фи	
362	452	ж#	
363	452	шу	
364	451	лк	
365	451	цо	
366	451	ыр	
367	447	тч	
368	446	уз	
369	444	шо	
370	414	нч	
371	411	зм	
372	411	тл	
373	408	зу	
374	403	лл	
375	402	вя	
376	400	йн	
377	398	бк	
378	398	нк	
379	396	уе	
380	396	яв	
381	393	пы	
382	387	жу	
383	386	ют	
384	381	аф	
385	379	#ц	
386	378	нц	
387	377	йт	
388	374	юд	
389	368	ию	
390	353	бщ	
391	350	вт	
392	348	зе	
393	340	рш	
394	340	ьм	
395	338	рб	
396	334	ащ	
397	333	йд	
398	330	дк	
399	329	цу	
400	327	вп	
401	326	ун	
402	313	ящ	
403	304	дт	
404	299	ущ	
405	297	e#	
406	297	вь	
407	297	зр	
408	293	оо	
409	287	зл	
410	287	ях	
411	286	ео	
412	281	дц	
413	281	рс	
414	272	ц#	
415	271	гн	
416	269	ьз	
417	268	чш	
418	267	ыч	
419	259	кв	
420	259	юс	
421	257	зб	
422	257	зь	
423	257	чь	
424	253	ню	
425	251	нщ	
426	245	ык	
427	244	ец	
428	238	н	
429	235	вм	
430	234	ищ	
431	232	вк	
432	229	цы	
433	227	ощ	
434	223	фр	
435	223	ху	
436	219	ыд	
437	215	ци	
438	213	е	
439	212	яя	
440	208	t#	
441	208	ип	
442	204	сх	
443	201	аи	
444	198	ъе	
445	195	сю	
446	193	лч	
447	193	уй	
448	192	гк	
449	192	оф	
450	191	тд	
451	191	яч	
452	190	лг	
453	190	яй	
454	187	уя	
455	187	ъя	
456	185	ып	
457	179	ац	
458	178	з	
459	178	рю	
460	177	бъ	
461	176	рм	
462	176	ср	
463	175	i#	
464	174	фе	
465	172	зж	
466	166	#x	
467	166	дш	
468	165	#щ	
469	165	як	
470	164	мс	
471	163	цк	
472	159	хн	
473	156	рх	
474	156	хи	
475	156	ьц	
476	156	яю	
477	155	еи	
478	154	жс	
479	153	s#	
480	153	хв	
481	147	ii	
482	147	ыг	
483	145	#l	
484	145	еу	
485	145	жк	
486	144	мл	
487	140	бв	
488	139	хл	
489	139	щу	
490	137	зк	
491	136	йл	
492	136	шв	
493	133	#m	
494	133	#p	
495	130	ьб	
496	127	вч	
497	127	оц	
498	126	нр	
499	125	n#	
500	125	иа	
501	125	фо	
502	124	ma	
503	123	ио	
504	120	тт	
505	119	а	
506	119	нг	
507	118	йч	
508	117	мр	
509	115	бс	
510	113	ьт	
511	112	дм	
512	111	xx	
513	108	an	
514	108	м	
515	104	йк	
516	104	рч	
517	104	шт	
518	104	яе	
519	103	le	
520	103	дп	
521	101	дх	
522	101	мь	
523	101	тц	
524	101	фа	
525	100	ш#	
526	98	чр	
527	98	ыз	
528	98	ьч	
529	97	пн	
530	96	бм	
531	95	#c	
532	95	дъ	
533	95	пк	
